disease,diseaseClass,genes
Restless Legs Syndrome,Nervous System ; Mental Disorders,TF
Myocardial Infarction,Cardiovascular ,TF
Disease Progression,Pathological Conditions,TF
Recurrence,Pathological Conditions,TF
Anemia-Iron-Deficiency,Hemic and Lymphatic ; Nutritional and Metabolic ,TF
Hemochromatosis,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,TF
Liver Cirrhosis-Experimental,Digestive System ,TF
Lung Neoplasms, Respiratory Tract ,TF
Schizophrenia,Mental Disorders,TF
Neoplasm Metastasis, Pathological Conditions,TF
Thyroid Neoplasms, Endocrine System ,TF
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,TF
Parkinson Disease,Nervous System ,TF
Cystic Fibrosis,Digestive System ; Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,TF
Tuberculosis,Bacterial Infections and Mycoses,TF
Pancreatitis,Digestive System ,TF
Bacterial Infections,Bacterial Infections and Mycoses,TF
Brain Ischemia,Nervous System ; Cardiovascular ,TF
Amyotrophic Lateral Sclerosis,Nervous System ; Nutritional and Metabolic ,PLA2G4A
Autistic Disorder,Mental Disorders,PLA2G4A
Blood Platelet Disorders,Hemic and Lymphatic ,PLA2G4A
Breast Neoplasms, Skin and Connective Tissue ,PLA2G4A
Dermatitis,Skin and Connective Tissue ,PLA2G4A
Duodenal Ulcer,Digestive System ,PLA2G4A
Metabolism-Inborn Errors,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,PLA2G4A
Respiratory Distress Syndrome-Adult,Respiratory Tract ,PLA2G4A
Schizophrenia,Mental Disorders,PLA2G4A
Osteoarthritis-Knee,Musculoskeletal ,PLA2G4A
Adenocarcinoma,Neoplasms,PLA2G4A
Colonic Neoplasms, Digestive System ,PLA2G4A
Leukemia-Myeloid-Acute,Neoplasms,PLA2G4A
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,PLA2G4A
Osteoarthritis,Musculoskeletal ,PLA2G4A
Bacterial Infections,Bacterial Infections and Mycoses,PLA2G4A
Liver Neoplasms, Digestive System ,PLA2G4A
Psychotic Disorders,Mental Disorders,PLA2G4A
SUCRASE-ISOMALTASE DEFICIENCY-CONGENITAL,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,SI
Optic Atrophy-Hereditary-Leber,Nervous System ; Eye ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ND1
MELAS Syndrome,Musculoskeletal ; Nervous System ; Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ND1
ALZHEIMER DISEASE-SUSCEPTIBILITY TO-MITOCHONDRIAL,Unclassified,ND1
Schizophrenia,Mental Disorders,ND1
Multiple Sclerosis,Nervous System ; Immune System ,ND1
Hypertension,Cardiovascular ,ND1
Parkinson Disease,Nervous System ,ND1
Dystonia,Nervous System ; Pathological Conditions,ND1
Dystonic Disorders,Nervous System ,ND1
Cardiomyopathy-Hypertrophic,Cardiovascular ,ND1
Cardiomyopathies,Cardiovascular ,ND1
Optic Nerve Diseases,Nervous System ; Eye ,ND1
Optic Neuropathy-Ischemic,Nervous System ; Eye ; Cardiovascular ,ND1
Muscle Spasticity,Musculoskeletal ; Nervous System ; Pathological Conditions,ND1
LEUKOCYTE ADHESION DEFICIENCY-TYPE I,Immune System ,ITGB2
Calcinosis,Nutritional and Metabolic ,ITGB2
Chloracne,Skin and Connective Tissue ,ITGB2
Dermatitis,Skin and Connective Tissue ,ITGB2
Heart Valve Diseases,Cardiovascular ,ITGB2
Leukemia-Promyelocytic-Acute,Neoplasms,ITGB2
Leukocyte-Adhesion Deficiency Syndrome,Immune System ,ITGB2
Leukocyte Disorders,Hemic and Lymphatic ,ITGB2
Skin Ulcer,Skin and Connective Tissue ,ITGB2
Coronary Disease,Cardiovascular ,ITGB2
Coronary Restenosis,Cardiovascular ,ITGB2
Vasculitis,Cardiovascular ,ITGB2
Vascular Diseases,Cardiovascular ,ITGB2
Colorectal Neoplasms, Digestive System ,ITGB2
Infection,Bacterial Infections and Mycoses,ITGB2
Melanoma,Neoplasms,ITGB2
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,ITGB2
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,ITGB2
Hypertriglyceridemia,Nutritional and Metabolic ,ITGB2
Reperfusion Injury,Cardiovascular ; Pathological Conditions,ITGB2
Crohn Disease,Digestive System ,ITGB2
Enterocolitis,Digestive System ,ITGB2
Hypertension,Cardiovascular ,UTS2R
Insulin Resistance,Nutritional and Metabolic ,UTS2R
Neoplasms,Neoplasms,UTS2R
Rhabdomyosarcoma,Neoplasms,UTS2R
HYPERPHENYLALANINEMIA-BH4-DEFICIENT-D,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,PCBD1
Arsenic Poisoning,Nervous System ; Substance-Related Disorders,HSPA1B
Atherosclerosis,Cardiovascular ,HSPA1B
Breast Neoplasms, Skin and Connective Tissue ,HSPA1B
Carcinoma-Pancreatic Ductal, Digestive System ; Endocrine System ,HSPA1B
Muscular Dystrophy-Facioscapulohumeral,Musculoskeletal ; Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,HSPA1B
Skin Diseases,Skin and Connective Tissue ,HSPA1B
Agranulocytosis,Hemic and Lymphatic ,HSPA1B
Shock-Septic,Bacterial Infections and Mycoses; Pathological Conditions,HSPA1B
Pancreatitis,Digestive System ,HSPA1B
Acute Disease,Pathological Conditions,HSPA1B
Alzheimer Disease,Nervous System ; Mental Disorders,HSPA1B
Multiple Trauma,Wounds and Injuries,HSPA1B
Systemic Inflammatory Response Syndrome,Pathological Conditions,HSPA1B
Multiple Organ Failure,Pathological Conditions,HSPA1B
Carcinoma,Neoplasms,HSPA1B
Nasopharyngeal Neoplasms, Stomatognathic ; Otorhinolaryngologic ,HSPA1B
Obesity,Nutritional and Metabolic ; Pathological Conditions,HSPA1B
Inflammation,Pathological Conditions,HSPA1B
Carotid Stenosis,Nervous System ; Cardiovascular ,HSPA1B
Coronary Artery Disease,Cardiovascular ,HSPA1B
Urinary Tract Infections,Bacterial Infections and Mycoses; Urogenital,HSPA1B
Recurrence,Pathological Conditions,HSPA1B
Stomach Neoplasms, Digestive System ,HSPA1B
Neoplasms,Neoplasms,HSPA1B
Anoxia,Pathological Conditions,HSPA1B
Crohn Disease,Digestive System ,HSPA1B
Colitis-Ulcerative,Digestive System ,HSPA1B
Pancreatitis-Alcoholic,Digestive System ; Substance-Related Disorders,HSPA1B
Fistula,Pathological Conditions,HSPA1B
Colitis-Ulcerative,Digestive System ,PTPRS
Arthritis-Experimental,Musculoskeletal ,IL4
Asthma,Respiratory Tract ; Immune System ,IL4
Autistic Disorder,Mental Disorders,IL4
Cardiomyopathies,Cardiovascular ,IL4
Dermatitis-Allergic Contact,Skin and Connective Tissue ; Immune System ,IL4
Dermatitis-Atopic,Congenital-Hereditary-and Neonatal  and Abnormalities; Skin and Connective Tissue ; Immune System ,IL4
Drug Eruptions,Skin and Connective Tissue ; Immune System ; Substance-Related Disorders,IL4
Drug Hypersensitivity,Immune System ,IL4
Hypersensitivity,Immune System ,IL4
Hypersensitivity-Immediate,Immune System ,IL4
Leishmaniasis-Cutaneous,Parasitic ; Skin and Connective Tissue ,IL4
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,IL4
Psoriasis,Skin and Connective Tissue ,IL4
Pulmonary Fibrosis,Respiratory Tract ,IL4
Respiratory Hypersensitivity,Respiratory Tract ; Immune System ,IL4
Respiratory Sounds,Pathological Conditions,IL4
Rhinitis,Respiratory Tract ; Otorhinolaryngologic ,IL4
Tuberculosis-Bovine,Bacterial Infections and Mycoses; Animal ,IL4
Acquired Immunodeficiency Syndrome,Virus ; Immune System ,IL4
Disease Progression,Pathological Conditions,IL4
Cystitis-Interstitial,Urogenital,IL4
HIV Infections,Virus ; Immune System ,IL4
Giant Cell Arteritis,Nervous System ; Cardiovascular ; Skin and Connective Tissue ; Immune System ,IL4
Glomerulonephritis-IGA,Urogenital; Immune System ,IL4
Kidney Failure-Chronic,Urogenital,IL4
Respiratory Syncytial Virus Infections,Virus ,IL4
Bronchiolitis,Respiratory Tract ,IL4
Nephrosis-Lipoid,Urogenital,IL4
Nephrotic Syndrome,Urogenital,IL4
Recurrence,Pathological Conditions,IL4
Fetal Membranes-Premature Rupture,Female Urogenital,IL4
Obstetric Labor-Premature,Female Urogenital,IL4
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,IL4
Multiple Sclerosis,Nervous System ; Immune System ,IL4
Burkitt Lymphoma,Virus ;  Hemic and Lymphatic ; Immune System ,IL4
Crohn Disease,Digestive System ,IL4
Graft vs Host Disease,Immune System ,IL4
Acute Disease,Pathological Conditions,IL4
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,IL4
Chronic Disease,Pathological Conditions,IL4
Food Hypersensitivity,Immune System ,IL4
Malaria-Cerebral,Parasitic ; Nervous System ,IL4
Parasitemia,Parasitic ; Pathological Conditions,IL4
Malaria-Falciparum,Parasitic ,IL4
Histiocytosis-Langerhans-Cell,Respiratory Tract ; Hemic and Lymphatic ,IL4
Fibromyalgia,Musculoskeletal ; Nervous System ,IL4
Bronchial Hyperreactivity,Respiratory Tract ,IL4
Tuberculosis-Pulmonary,Bacterial Infections and Mycoses; Respiratory Tract ,IL4
Gingival Hemorrhage,Stomatognathic ; Pathological Conditions,IL4
Periodontal Attachment Loss,Stomatognathic ,IL4
Periodontitis,Stomatognathic ,IL4
Periodontal Pocket,Stomatognathic ,IL4
Brucellosis,Bacterial Infections and Mycoses,IL4
Graves Disease,Eye ; Endocrine System ; Immune System ,IL4
Thyroiditis-Autoimmune,Endocrine System ; Immune System ,IL4
Myocardial Infarction,Cardiovascular ,IL4
Inflammation,Pathological Conditions,IL4
Venous Thromboembolism,Cardiovascular ,IL4
Sjogren's Syndrome,Musculoskeletal ; Stomatognathic ; Eye ; Skin and Connective Tissue ; Immune System ,IL4
Lung Neoplasms, Respiratory Tract ,IL4
Schizophrenia,Mental Disorders,IL4
Carcinoma-Squamous Cell,Neoplasms,IL4
Hepatitis B,Virus ; Digestive System ,IL4
Prostatic Neoplasms, Male Urogenital ,IL4
Colorectal Neoplasms, Digestive System ,IL4
Breast Neoplasms, Skin and Connective Tissue ,IL4
Neoplasms,Neoplasms,IL4
Hyperplasia,Pathological Conditions,IL4
Adenocarcinoma,Neoplasms,IL4
Pancreatic Neoplasms, Digestive System ; Endocrine System ,IL4
Carcinoma-Hepatocellular, Digestive System ,IL4
Infection,Bacterial Infections and Mycoses,IL4
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,IL4
Mucocutaneous Lymph Node Syndrome,Cardiovascular ; Hemic and Lymphatic ; Skin and Connective Tissue ,IL4
Endometriosis,Female Urogenital,IL4
Ovarian Neoplasms, Female Urogenital; Endocrine System ,IL4
Leukemia,Neoplasms,IL4
Malaria,Parasitic ,IL4
Hodgkin Disease, Hemic and Lymphatic ; Immune System ,IL4
Mouth Neoplasms, Stomatognathic ,IL4
Lymphoma-Non-Hodgkin, Hemic and Lymphatic ; Immune System ,IL4
Pre-Eclampsia,Female Urogenital,IL4
Behcet Syndrome,Stomatognathic ; Eye ; Cardiovascular ; Skin and Connective Tissue ,IL4
Sarcoma-Kaposi,Virus ; Neoplasms,IL4
Lymphoma-B-Cell, Hemic and Lymphatic ; Immune System ,IL4
Coronary Artery Disease,Cardiovascular ,IL4
Colitis-Ulcerative,Digestive System ,IL4
Hyperglycemia,Nutritional and Metabolic ,IL4
Scleroderma-Systemic,Skin and Connective Tissue ,IL4
Tuberculosis,Bacterial Infections and Mycoses,IL4
Premature Birth,Female Urogenital,IL4
Hepatitis C,Virus ; Digestive System ,IL4
Hypothyroidism,Endocrine System ,IL4
Aggressive Periodontitis,Stomatognathic ,IL4
Chronic Periodontitis,Stomatognathic ,IL4
Granuloma,Hemic and Lymphatic ; Pathological Conditions,IL4
Idiopathic Pulmonary Fibrosis,Respiratory Tract ,IL4
Nasal Polyps,Respiratory Tract ; Otorhinolaryngologic ; Pathological Conditions,IL4
Vaginosis-Bacterial,Bacterial Infections and Mycoses; Female Urogenital,IL4
Candidiasis,Bacterial Infections and Mycoses,IL4
Lymphoma-Follicular, Hemic and Lymphatic ; Immune System ,IL4
Hashimoto Disease,Endocrine System ,IL4
Stroke,Nervous System ; Cardiovascular ,IL4
Cerebral Infarction,Nervous System ; Cardiovascular ,IL4
Pneumonia,Respiratory Tract ,IL4
Pemphigoid-Benign Mucous Membrane,Eye ; Skin and Connective Tissue ,IL4
Respiratory Tract Infections,Bacterial Infections and Mycoses; Respiratory Tract ,IL4
Keratoconjunctivitis Sicca,Eye ,IL4
Virus Diseases,Virus ,IL4
Candidiasis-Vulvovaginal,Bacterial Infections and Mycoses; Female Urogenital,IL4
Exanthema,Skin and Connective Tissue ,IL4
Alzheimer Disease,Nervous System ; Mental Disorders,IL1B
Arsenic Poisoning,Nervous System ; Substance-Related Disorders,IL1B
Arthritis-Experimental,Musculoskeletal ,IL1B
Brain Injuries,Nervous System ; Wounds and Injuries,IL1B
Brain Ischemia,Nervous System ; Cardiovascular ,IL1B
Breast Neoplasms, Skin and Connective Tissue ,IL1B
Bronchopulmonary Dysplasia,Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,IL1B
Calcinosis,Nutritional and Metabolic ,IL1B
Cardiomegaly,Cardiovascular ; Pathological Conditions,IL1B
Cardiomyopathies,Cardiovascular ,IL1B
Colitis-Ulcerative,Digestive System ,IL1B
Colonic Neoplasms, Digestive System ,IL1B
Dermatitis-Atopic,Congenital-Hereditary-and Neonatal  and Abnormalities; Skin and Connective Tissue ; Immune System ,IL1B
Dermatomyositis,Musculoskeletal ; Nervous System ; Skin and Connective Tissue ,IL1B
Drug-Induced Liver Injury,Digestive System ; Substance-Related Disorders,IL1B
Entamoebiasis,Parasitic ,IL1B
Fever,Pathological Conditions,IL1B
Glioblastoma,Neoplasms,IL1B
Glomerulonephritis,Urogenital,IL1B
Heart Failure,Cardiovascular ,IL1B
Heart Valve Diseases,Cardiovascular ,IL1B
HIV Wasting Syndrome,Virus ; Nutritional and Metabolic ; Immune System ,IL1B
Hyperalgesia,Nervous System ; Pathological Conditions,IL1B
Hyperemia,Cardiovascular ,IL1B
Hypoglycemia,Nutritional and Metabolic ,IL1B
Hypotension,Cardiovascular ,IL1B
Inflammation,Pathological Conditions,IL1B
Kearns-Sayre Syndrome,Musculoskeletal ; Nervous System ; Eye ; Cardiovascular ; Nutritional and Metabolic ,IL1B
Leishmaniasis-Cutaneous,Parasitic ; Skin and Connective Tissue ,IL1B
Leukocytosis,Hemic and Lymphatic ; Pathological Conditions,IL1B
Liver Cirrhosis-Experimental,Digestive System ,IL1B
Lymphopenia,Hemic and Lymphatic ; Immune System ,IL1B
MELAS Syndrome,Musculoskeletal ; Nervous System ; Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,IL1B
MERRF Syndrome,Musculoskeletal ; Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,IL1B
Mitochondrial Myopathies,Musculoskeletal ; Nervous System ; Nutritional and Metabolic ,IL1B
Mucositis,Digestive System ; Stomatognathic ,IL1B
Muscular Diseases,Musculoskeletal ; Nervous System ,IL1B
Necrosis,Pathological Conditions,IL1B
Neutropenia,Hemic and Lymphatic ,IL1B
Ophthalmoplegia-Chronic Progressive External,Musculoskeletal ; Nervous System ; Eye ; Nutritional and Metabolic ; Pathological Conditions,IL1B
Optic Atrophy-Hereditary-Leber,Nervous System ; Eye ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,IL1B
Osteoporosis-Postmenopausal,Musculoskeletal ,IL1B
Polymyositis,Musculoskeletal ; Nervous System ,IL1B
Pulmonary Fibrosis,Respiratory Tract ,IL1B
Reperfusion Injury,Cardiovascular ; Pathological Conditions,IL1B
Schizophrenia,Mental Disorders,IL1B
Seizures,Nervous System ; Pathological Conditions,IL1B
Skin Diseases,Skin and Connective Tissue ,IL1B
Sleep Disorders,Nervous System ; Pathological Conditions; Mental Disorders,IL1B
Stomach Neoplasms, Digestive System ,IL1B
Urticaria,Skin and Connective Tissue ; Immune System ,IL1B
Asthma,Respiratory Tract ; Immune System ,IL1B
Rhinitis-Allergic-Perennial,Respiratory Tract ; Otorhinolaryngologic ; Immune System ,IL1B
Periodontitis,Stomatognathic ,IL1B
Acute Disease,Pathological Conditions,IL1B
Osteoporosis,Musculoskeletal ,IL1B
Inflammatory Bowel Diseases,Digestive System ,IL1B
Helicobacter Infections,Bacterial Infections and Mycoses,IL1B
Gastritis-Atrophic,Digestive System ,IL1B
Chronic Disease,Pathological Conditions,IL1B
Lymphoma, Hemic and Lymphatic ; Immune System ,IL1B
Lymphoma-B-Cell-Marginal Zone, Hemic and Lymphatic ; Immune System ,IL1B
Adenocarcinoma,Neoplasms,IL1B
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,IL1B
Precancerous Conditions,Neoplasms,IL1B
Hepatitis B-Chronic,Virus ; Digestive System ,IL1B
Crohn Disease,Digestive System ,IL1B
Chlamydophila Infections,Bacterial Infections and Mycoses,IL1B
Coronary Disease,Cardiovascular ,IL1B
Myocardial Infarction,Cardiovascular ,IL1B
Cerebrovascular Disorders,Nervous System ; Cardiovascular ,IL1B
Cardiovascular Diseases,Cardiovascular ,IL1B
Encephalitis,Virus ; Nervous System ,IL1B
Disease Progression,Pathological Conditions,IL1B
Gastritis,Digestive System ,IL1B
Intestinal Neoplasms, Digestive System ,IL1B
Diabetic Nephropathies,Urogenital; Endocrine System ,IL1B
Abortion-Habitual,Female Urogenital,IL1B
Parkinson Disease,Nervous System ,IL1B
Multiple Sclerosis,Nervous System ; Immune System ,IL1B
Hepatitis C-Chronic,Virus ; Digestive System ,IL1B
Carcinoma-Hepatocellular, Digestive System ,IL1B
Liver Neoplasms, Digestive System ,IL1B
Dementia,Nervous System ; Mental Disorders,IL1B
Glaucoma-Open-Angle,Eye ,IL1B
Glomerulonephritis-IGA,Urogenital; Immune System ,IL1B
Hematuria,Urogenital; Pathological Conditions,IL1B
Proteinuria,Urogenital; Pathological Conditions,IL1B
Hypertension,Cardiovascular ,IL1B
Bacterial Infections,Bacterial Infections and Mycoses,IL1B
Pregnancy Complications-Infectious,Bacterial Infections and Mycoses; Female Urogenital,IL1B
Vaginal Diseases,Female Urogenital,IL1B
Metaplasia,Pathological Conditions,IL1B
Stomach Ulcer,Digestive System ,IL1B
Burning Mouth Syndrome,Stomatognathic ,IL1B
Depressive Disorder,Mental Disorders,IL1B
Arthralgia,Musculoskeletal ; Pathological Conditions; Psychological Phenomena and Processes,IL1B
Arthritis,Musculoskeletal ,IL1B
Hypertension-Pulmonary,Respiratory Tract ,IL1B
Scleroderma-Diffuse,Skin and Connective Tissue ,IL1B
Scleroderma-Limited,Skin and Connective Tissue ,IL1B
Gingival Hemorrhage,Stomatognathic ; Pathological Conditions,IL1B
Gingivitis,Stomatognathic ,IL1B
Periodontal Pocket,Stomatognathic ,IL1B
Dental Calculus,Stomatognathic ; Pathological Conditions,IL1B
Dental Plaque,Stomatognathic ,IL1B
Carcinoma,Neoplasms,IL1B
Genomic Instability,Pathological Conditions,IL1B
Pemphigoid-Bullous,Skin and Connective Tissue ; Immune System ,IL1B
Coronary Restenosis,Cardiovascular ,IL1B
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,IL1B
Prostatic Hyperplasia,Male Urogenital ,IL1B
Prostatic Neoplasms, Male Urogenital ,IL1B
Coronary Artery Disease,Cardiovascular ,IL1B
Leiomyoma,Neoplasms,IL1B
Uterine Neoplasms, Female Urogenital,IL1B
Lung Neoplasms, Respiratory Tract ,IL1B
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,IL1B
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,IL1B
Lymphadenitis,Hemic and Lymphatic ,IL1B
Mycobacterium Infections,Bacterial Infections and Mycoses,IL1B
Osteomyelitis,Bacterial Infections and Mycoses; Musculoskeletal ,IL1B
Carcinoma-Squamous Cell,Neoplasms,IL1B
Colorectal Neoplasms, Digestive System ,IL1B
Neoplasms,Neoplasms,IL1B
Infection,Bacterial Infections and Mycoses,IL1B
Melanoma,Neoplasms,IL1B
Recurrence,Pathological Conditions,IL1B
Anoxia,Pathological Conditions,IL1B
Vasculitis,Cardiovascular ,IL1B
Endometriosis,Female Urogenital,IL1B
Leukemia-Myeloid-Acute,Neoplasms,IL1B
Craniocerebral Trauma,Nervous System ; Wounds and Injuries,IL1B
Epilepsy-Temporal Lobe,Nervous System ,IL1B
Mouth Neoplasms, Stomatognathic ,IL1B
Atherosclerosis,Cardiovascular ,IL1B
Shock,Pathological Conditions,IL1B
Lymphoma-Non-Hodgkin, Hemic and Lymphatic ; Immune System ,IL1B
Celiac Disease,Digestive System ; Nutritional and Metabolic ,IL1B
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,IL1B
Behcet Syndrome,Stomatognathic ; Eye ; Cardiovascular ; Skin and Connective Tissue ,IL1B
